username,user id,access hash,name,group,group id
,5081605001,2992496041376171771,marky z,BotWhitelist Public Chat,1670409230
kmzxxx,525080471,8477872821270195058,zE,BotWhitelist Public Chat,1670409230
zer8geo,1927321546,6252681646202151175,斯文_ bot,BotWhitelist Public Chat,1670409230
t0t0_z,550741132,443446222072119189,jai2,BotWhitelist Public Chat,1670409230
SvzBypass,530189080,6014197238670167828,Saputra Van Zimmi - https://gasfarm.org,BotWhitelist Public Chat,1670409230
Taqiiem,487746730,-5705714693363097294,Zull,BotWhitelist Public Chat,1670409230
ZhongXing1234,1936324578,-2644026964525806813,d a,BotWhitelist Public Chat,1670409230
zeus_11000,950309427,-5764026545582021241,Zeus,BotWhitelist Public Chat,1670409230
ArisResearch,1971401086,5214030192831170683,Zoey,BotWhitelist Public Chat,1670409230
Tibz83,1093978550,-3909931248984348015,Tibo Zénith,BotWhitelist Public Chat,1670409230
MZubair12345,1720829352,-4746162886135079846,M Zubair,BotWhitelist Public Chat,1670409230
,1693369228,370931454557591726,zheng zetan,BotWhitelist Public Chat,1670409230
zubokroman,298234573,5811351378406618606,Zubok Roman,BotWhitelist Public Chat,1670409230
putra4693,1078898819,-8393450987888162220,zX,BotWhitelist Public Chat,1670409230
Zererotwo,992103262,-5604673721869323989,Edmund Abialle,BotWhitelist Public Chat,1670409230
zsuske44,1818884534,-5880428272535792360,Zasuke,BotWhitelist Public Chat,1670409230
ZilFirmansyah,1494060467,-2089761434660669919,F.,BotWhitelist Public Chat,1670409230
zainmech,258786155,-5691763398790035081,Zain,BotWhitelist Public Chat,1670409230
Noexisto12,1915756515,6653281476353419820,Mod Esp Baby Doge || NEW YEAR ||,BotWhitelist Public Chat,1670409230
yaelahto,984803317,-9121880061883983512,Yaelahto,BotWhitelist Public Chat,1670409230
yunipaisen,2042408140,-6683594601580255000,Yuni Paisen @FudPinkSale,BotWhitelist Public Chat,1670409230
yaokeai,1116647736,-3041858041131617732,姚姚奶昔,BotWhitelist Public Chat,1670409230
yonzinhoxd,1938501904,2348433831331220728,Huelinton R Ferreira,BotWhitelist Public Chat,1670409230
pallaim_YearOfFlokii,113849457,341981079844872186,Dinho,BotWhitelist Public Chat,1670409230
Lexxx_Y,1681208891,-7002660188151649441,Lex Y,BotWhitelist Public Chat,1670409230
himansu_77,1186383345,-2688022612245064061,Himanshu | Never DM You,BotWhitelist Public Chat,1670409230
sikomaraja,1775343071,-2927225936514818552,Yp,BotWhitelist Public Chat,1670409230
Samir171,1856551231,-1879545355844054822,Hh Samir || ◇ Will Never Dm You ◇ ||,BotWhitelist Public Chat,1670409230
Azzi331,1175047128,-4655426116376681261,🐒Azzi🐵🦛 ( will never dm you first)🍨,BotWhitelist Public Chat,1670409230
NolxYayan,1171428465,-997724085040306774,YS || AIRDROPFIND MEMBER,BotWhitelist Public Chat,1670409230
Northernsky1991,431007846,6825284261992770924,Steven Nguyễn - HG Admin {Never DM You First},BotWhitelist Public Chat,1670409230
mejbaur13,1739830092,-6783587985851007110,mejbaur (never dm or pm you first),BotWhitelist Public Chat,1670409230
watacchi,546039873,-727741144743846140,watacchi@KudasaiJP (will DM you first),BotWhitelist Public Chat,1670409230
BinaryKingOO7,951952875,-750288837116095619,Option King (never DM you first 🥇),BotWhitelist Public Chat,1670409230
